Elapsed,Well,Area,DaysSinceSeeding,Radius,Condition,CellLine
212,E7,700554.3,8.833333333333334,472.2217270505087,M100:F0,1205LU
218,E7,714075.1,9.083333333333334,476.7569231879899,M100:F0,1205LU
224,E7,731158.3,9.333333333333334,482.42607232127693,M100:F0,1205LU
230,E7,717662.3,9.583333333333334,477.9529318158823,M100:F0,1205LU
236,E7,730929.3,9.833333333333334,482.35051807932973,M100:F0,1205LU
4,F7,1.057037e6,0.16666666666666666,580.0563137851838,M100:F0,1205LU
8,F7,847257.1,0.3333333333333333,519.3171584584978,M100:F0,1205LU
12,F7,660187.0,0.5,458.41471271111953,M100:F0,1205LU
16,F7,491854.5,0.6666666666666666,395.6793523978542,M100:F0,1205LU
20,F7,417611.7,0.8333333333333334,364.5955741585728,M100:F0,1205LU
24,F7,385901.3,1.0,350.4799550347735,M100:F0,1205LU
28,F7,361617.5,1.1666666666666667,339.2733783648032,M100:F0,1205LU
32,F7,349085.6,1.3333333333333333,333.34276293989086,M100:F0,1205LU
36,F7,341883.3,1.5,329.8860929338167,M100:F0,1205LU
40,F7,341482.5,1.6666666666666667,329.6926685699218,M100:F0,1205LU
44,F7,328556.0,1.8333333333333333,323.3923668935331,M100:F0,1205LU
48,F7,326980.7,2.0,322.6161641971713,M100:F0,1205LU
52,F7,329068.3,2.1666666666666665,323.64439299900357,M100:F0,1205LU
56,F7,326288.9,2.3333333333333335,322.2747005615462,M100:F0,1205LU
64,F7,332943.3,2.6666666666666665,325.5443808893891,M100:F0,1205LU
68,F7,343341.1,2.8333333333333335,330.58866656801393,M100:F0,1205LU
74,F7,359525.2,3.0833333333333335,338.2904454639601,M100:F0,1205LU
80,F7,378405.1,3.3333333333333335,347.0591942484249,M100:F0,1205LU
86,F7,391768.0,3.5833333333333335,353.1340078361914,M100:F0,1205LU
92,F7,408465.8,3.8333333333333335,360.58106204842625,M100:F0,1205LU
98,F7,434003.2,4.083333333333333,371.6820000960511,M100:F0,1205LU
104,F7,456612.6,4.333333333333333,381.2404815022727,M100:F0,1205LU
110,F7,467962.2,4.583333333333333,385.94947158963214,M100:F0,1205LU
116,F7,477580.0,4.833333333333333,389.89541603313927,M100:F0,1205LU
122,F7,493934.3,5.083333333333333,396.51503226898006,M100:F0,1205LU
128,F7,508148.4,5.333333333333333,402.17988434091944,M100:F0,1205LU
134,F7,511559.2,5.583333333333333,403.52738535107005,M100:F0,1205LU
140,F7,531556.3,5.833333333333333,411.3388206251349,M100:F0,1205LU
